,Id,TopicId,Topic,Title,Content,Description,UrlComment,PublishedDate,SentimentAI,SentimentQC,Tỉ lệ,SiteName,SiteId,Channel,Author,AuthorId,UrlTopic,ParentId,Labels1,Labels2,Labels3,Labels4,Type,Level,Caption,Tags,Labels,Verify Sentiment
6574,2327320807778438_2327321034445082,6929256661fe19430ca50d22,Vinfast,"Tại sao ae VF8 phải tốn kém nhiều lần vào hãng thay gạt mưa mà vẩn bị kêu rít để lại vệt ạ. 
 ✍️Chấm ib e đảm bảo êm sạch trong veo luôn ạ",ib e tư vấn ạ,,http://facebook.com/2327320807778438_2327321034445082,26/12/2025,Negative,Neutral,AI sai,"Hội VinFast VF8, VF 8 Việt Nam™ (VinFastVF8ClubVN)",1167278443782686,Facebook,Trung Anh,100011814879539,http://facebook.com/1167278443782686_2327320807778438,1167278443782686_2327320807778438,,,,,fbGroupComment,,Văn bản đề cập đến Vinfast VF8 và thể hiện sự không hài lòng về chất lượng gạt mưa.,,,neutral
6575,2327320807778438_2327320981111754,6929256661fe19430ca50d22,Vinfast,"Tại sao ae VF8 phải tốn kém nhiều lần vào hãng thay gạt mưa mà vẩn bị kêu rít để lại vệt ạ. 
 ✍️Chấm ib e đảm bảo êm sạch trong veo luôn ạ",,,http://facebook.com/2327320807778438_2327320981111754,26/12/2025,Negative,Neutral,AI sai,"Hội VinFast VF8, VF 8 Việt Nam™ (VinFastVF8ClubVN)",1167278443782686,Facebook,Trung Anh,100011814879539,http://facebook.com/1167278443782686_2327320807778438,1167278443782686_2327320807778438,,,,,fbGroupComment,,Văn bản đề cập đến Vinfast VF8 và thể hiện sự không hài lòng về chất lượng gạt mưa.,,,neutral
6576,2327320807778438_2327320954445090,6929256661fe19430ca50d22,Vinfast,"Tại sao ae VF8 phải tốn kém nhiều lần vào hãng thay gạt mưa mà vẩn bị kêu rít để lại vệt ạ. 
 ✍️Chấm ib e đảm bảo êm sạch trong veo luôn ạ",,,http://facebook.com/2327320807778438_2327320954445090,26/12/2025,Negative,Neutral,AI sai,"Hội VinFast VF8, VF 8 Việt Nam™ (VinFastVF8ClubVN)",1167278443782686,Facebook,Trung Anh,100011814879539,http://facebook.com/1167278443782686_2327320807778438,1167278443782686_2327320807778438,,,,,fbGroupComment,,Văn bản đề cập đến Vinfast VF8 và thể hiện sự không hài lòng về chất lượng gạt mưa.,,,neutral
6577,7587723698644290823_7588007001365496594,6929256661fe19430ca50d22,Vinfast,"xe những gần 300tr mà ko trang bị giảm sóc bóng hơi,ko có cân bằng điện tử,ko có ghế chỉnh điện 8 hướng còn ko có cả cốp điện nữa #vinfast #vinfastvf3 #vf3 #xuhuong","Giá trị thực thì so với mặt bằng chung, xe với mức giá 300 là hàng rẻ rách đi trải nghiệm là chính. Bao sạc thì còn tuỳ, bác đi dịch vụ thì bỏ ra 300tr lại ngon, đi nhà thì bình thường. Tuỳ vào tư duy của bác tới đâu thôi",VinFast,https://www.tiktok.com/@phantradeptrai/video/7587723698644290823?cid=NzU4ODAwNzAwMTM2NTQ5NjU5NA,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Hoàng Lâm.,khc.in2,https://www.tiktok.com/@phantradeptrai/video/7587723698644290823?cid=NzU4ODAwNzAwMTM2NTQ5NjU5NA,6902268232083817473_7587723698644290823,,,,,tiktokComment,,Văn bản đề cập Vinfast và thể hiện cảm xúc tiêu cực về giá trị và tính năng.,,,neutral
6578,7587723698644290823_7588004267169792786,6929256661fe19430ca50d22,Vinfast,"xe những gần 300tr mà ko trang bị giảm sóc bóng hơi,ko có cân bằng điện tử,ko có ghế chỉnh điện 8 hướng còn ko có cả cốp điện nữa #vinfast #vinfastvf3 #vf3 #xuhuong",V a cầm 300 đó mua xe cỏ r về chăm đổ xăng đồ bảo dưỡng dô chứ e nuôi xe xăng mấy năm cũng ngán lắm,VinFast,https://www.tiktok.com/@phantradeptrai/video/7587723698644290823?cid=NzU4ODAwNDI2NzE2OTc5Mjc4Ng,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Hoàng Minh Thư,minhhthuu2k2,https://www.tiktok.com/@phantradeptrai/video/7587723698644290823?cid=NzU4ODAwNDI2NzE2OTc5Mjc4Ng,6902268232083817473_7587723698644290823,,,,,tiktokComment,,Văn bản đề cập Vinfast và thể hiện sự không hài lòng về trang bị của xe.,,,neutral
6579,7588069322237529351_7588769908328334098,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"Hết thì đổi xe khác, phương tiện đi lại mà suy nghĩ nhiều rứa trời. Cứ xe nào hết bảo hành 3 năm của hãng thì thanh lý lên xe mới thôi !!!",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODc2OTkwODMyODMzNDA5OA,28/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Thành Nguyễn,tee120391,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODc2OTkwODMyODMzNDA5OA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast và thể hiện sự lo lắng, tiêu cực về chính sách sạc.",,,neutral
6582,7588069322237529351_7588824202729669393,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Chất lượng dịch vụ và độ an toàn thg cố thông minh ơi 😂 lạy m bố cái thg chạy khách giá rẻ biện minh,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODgyNDIwMjcyOTY2OTM5Mw,28/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,VĂN TẤN,vantan62la,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODgyNDIwMjcyOTY2OTM5Mw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự không hài lòng về dịch vụ và giá cả.",,,neutral
6583,7588069322237529351_7588744534785082130,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Thế doanh nghiệp xe của nước nhà mà sản xuất phần lớn là xe dịch vụ m thấy có ổn k,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODc0NDUzNDc4NTA4MjEzMA,28/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,DuyBien14,neibyud14,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODc0NDUzNDc4NTA4MjEzMA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự lo ngại về chiến lược kinh doanh.,,,neutral
6584,7588069322237529351_7588731831202579221,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Xe dịch vụ ko phải là xe ah b? Ko đc tính vào doanh số ah? Hay doanh số chỉ tính xe biển trắng😌,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODczMTgzMTIwMjU3OTIyMQ,28/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,chefviet68,chefviet68,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODczMTgzMTIwMjU3OTIyMQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự hoài nghi về việc mua xe điện.",,,neutral
6585,7588069322237529351_7588241261254279944,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Tôi chỉ sợ cúp điện đột xuất sửa chữa thôi. Sạc thì kh đáng lo lắm,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODI0MTI2MTI1NDI3OTk0NA,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Mình Tân Travel,minhtan.travel,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODI0MTI2MTI1NDI3OTk0NA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện lo ngại về việc cúp điện.,,,neutral
6586,7588069322237529351_7588233091296428808,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,mua 3 năm đi 16 vạn thế là hết bảo hành thế còn 5 năm đi đâu mất rồi bạn,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIzMzA5MTI5NjQyODgwOA,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,꧁ℳạทɦ Շɦắทջ꧂,manhteor,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIzMzA5MTI5NjQyODgwOA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự không hài lòng về chính sách bảo hành.,,,neutral
6587,7588069322237529351_7588150858182116104,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,đúng vậy nhưng hết bảo hành thì sao ạ😁,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MDg1ODE4MjExNjEwNA,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,꧁ℳạทɦ Շɦắทջ꧂,manhteor,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE1MDg1ODE4MjExNjEwNA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện lo ngại về bảo hành sau khi hết hạn.,,,neutral
6588,7588069322237529351_7588188820508721941,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,mk mua vf5 chạy taxi ko biết hết 16 vạn bảo hành pin nó sẽ như nào đây đâm lao rồi phải theo lao,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE4ODgyMDUwODcyMTk0MQ,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Dũng béo,ducdung999,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE4ODgyMDUwODcyMTk0MQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast và thể hiện sự lo lắng, tiêu cực về bảo hành.",,,neutral
6589,7588069322237529351_7588205182573314834,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"thì giá vẫn khấu hao bình thường thôi, chứ xe xăng thường bảo hành 2 năm thế hết bảo hành là xe vứt đi hay sao",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIwNTE4MjU3MzMxNDgzNA,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIwNTE4MjU3MzMxNDgzNA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự lo ngại về giá và bảo hành.,,,neutral
6590,7588069322237529351_7588203303734543120,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Mơ cái bảo hành ấy lgi bạn 😂,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIwMzMwMzczNDU0MzEyMA,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Nguyễn Văn Thịnh,thinhnguyents,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODIwMzMwMzczNDU0MzEyMA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự không hài lòng về bảo hành và việc mua xe.",,,neutral
6591,7588069322237529351_7588194215420904210,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Doanh số toàn xe dịch vụ tx biển vàng chứ trắng đc bnh thị phần,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE5NDIxNTQyMDkwNDIxMA,26/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,DuyBien14,neibyud14,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODE5NDIxNTQyMDkwNDIxMA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự hoài nghi về doanh số và chính sách sạc.",,,neutral
6592,7588069322237529351_7588382390919496456,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,cứu hộ có mất phí gì k anh,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM4MjM5MDkxOTQ5NjQ1Ng,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM4MjM5MDkxOTQ5NjQ1Ng,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự lo lắng về chi phí cứu hộ.,,,neutral
6593,7588069322237529351_7588394797262979847,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,😂😂😂 ủa mua xài ko được sao phải làm dịch vụ mới mua 😁😁,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM5NDc5NzI2Mjk3OTg0Nw,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Thanh Dũng,dung.chu323,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM5NDc5NzI2Mjk3OTg0Nw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự không hài lòng về chính sách sạc.",,,neutral
